brand,category,product_url
Minimalist,sunscreen,https://www.nykaa.com/minimalist-light-fluid-spf-50-face-sunscreen/p/20540004
Minimalist,sunscreen,https://www.nykaa.com/minimalist-spf-60-pa-face-sunscreen-with-antioxidant-silymarin-for-complete-sun-protection/p/2812175
Mamaearth,skincare,https://www.nykaa.com/mamaearth-vitamin-c-cream-for-face-with-vitamin-c-spf-20-50g/p/807649
Mamaearth,sunscreen,https://www.nykaa.com/mamaearth-vitamin-c-daily-glow-sunscreen/p/9279642
Plum,sunscreen,https://www.nykaa.com/plum-green-tea-zinc-super-matte-sunscreen-gel-spf-50-pa/p/17822199
Plum,sunscreen,https://www.nykaa.com/plum-2percent-niacinamide-sunscreen-spf-50-pa-uva-b/p/18817150
WOW Skin Science,face wash,https://www.nykaa.com/wow-skin-science-charcoal-face-wash/p/12523803
WOW Skin Science,face wash,https://www.nykaa.com/wow-skin-science-vitamin-c-face-wash/p/516570
The Derma Co,serum,https://www.nykaa.com/the-derma-co-15percent-vitamin-c-face-serum/p/17018521
The Derma Co,serum,https://www.nykaa.com/the-derma-co-5percent-vitamin-c-daily-face-serum-with-ferulic-acid-multivitamin-for-skin-illumination/p/5396394
Dot & Key,moisturizer,https://www.nykaa.com/dot-key-strawberry-dew-do-it-all-moisturizer/p/17268838
Dot & Key,moisturizer,https://www.nykaa.com/dot-key-watermelon-cooling-icy-gel-moisturizer/p/19363355
