"brand_name","product_name","category","snapshot_date","price","avg_rating","review_count"
"Plum","Plum Green Tea & Zinc Super-Matte SPF 50 Sunscreen Gel For Oily, Combination Skin, No White Cast","sunscreen","2026-08-05",404.0,4.3,466
"Plum","Plum 2% Niacinamide & Rice Water SPF 50 PA+++ Sunscreen, Fades Tan, For Oily To Dry Skin Type","sunscreen","2026-08-05",378.0,4.3,3986
"WOW Skin Science","WOW Skin Science Charcoal Face Wash for Deep Cleansing Oil Control & Clear Skin","face wash","2026-08-05",224.0,4.2,18
"WOW Skin Science","WOW Skin Science Vitamin C + Niacinamide Brightening Face Wash with Foaming Brush for Clear Skin","face wash","2026-08-05",246.0,4.3,1177
"The Derma Co","The Derma Co 15% Vitamin C Face Serum","serum","2026-08-05",703.0,4.2,43
"The Derma Co","The Derma Co 5% Vitamin C Daily Face Serum With Ferulic Acid & Multivitamin For Skin Illumination","serum","2026-08-05",483.0,4.2,106
"Dot & Key","Dot & Key Strawberry Dew Brightening Moisturizer, Niacinamide & Peptides, Brightens & Smoothes Skin","moisturizer","2026-08-05",359.0,4.2,577
"Dot & Key","Dot & Key Watermelon Cooling Icy Gel Moisturizer, With Hyaluronic & Liquid Ice","moisturizer","2026-08-05",441.0,4.4,616
"Minimalist","Minimalist Light Fluid SPF 50 Face Sunscreen","sunscreen","2026-08-05",474.0,4.4,1753
"Minimalist","Minimalist SPF 60 PA ++++ Sunscreen - Pregnancy & Lactation Safe For Sensitive Skin","sunscreen","2026-08-05",569.0,4.3,881
"Mamaearth","Mamaearth Vitamin C Day Cream For Face With Vitamin C & SPF 20 For Skin Illumination","skincare","2026-08-05",539.0,4.3,137
"Mamaearth","Mamaearth Vitamin C Daily Glow Sunscreen With Vit C & Turmeric For Tan Protect... - In-Vivo tested","sunscreen","2026-08-05",439.0,4.2,455
